skill,num,meansal,cumul,id
Computer Numerical Control (CNC),613,44223.54228855721,52.01633325723043,specialized
Description and Demonstration of Products,611,30991.15652173913,52.17667419822969,specialized
Cost Estimation,610,64514.451515151515,52.33675271543026,specialized
Personnel Management,610,61280.2185840708,52.496831232630825,specialized
Lathes,604,42456.67721518988,52.65533520703926,specialized
Shipping and Receiving,603,32076.855696202532,52.813576757648995,specialized
Administrative Support,596,47942.724626865675,52.96998134166791,specialized
Debris and Litter Control,586,30409.29800796813,53.12376168769993,specialized
Product Sales,585,42556.412,53.27727960993327,specialized
Cost Analysis,582,75793.75044247787,53.43001026077053,specialized
Engineering Drawings,577,45639.81294117647,53.581428792614346,specialized
Hydraulics,572,53458.9,53.731535205464716,specialized
Computer Aided Drafting/Design (CAD),555,58539.8093220339,53.877180413737364,specialized
Business Development,552,68522.10519480519,54.02203835061394,specialized
Training Programs,552,42789.735922330095,54.16689628749052,specialized
Copying,551,64147.84267990074,54.31149180056841,specialized
Cabling,545,44301.084375,54.454512770854166,specialized
Facility Management,544,42958.92764705882,54.597271317341225,specialized
Wiring Diagrams,541,44411.178102189784,54.73924259243222,specialized
Highway Maintenance,539,36077.994736842105,54.88068901992584,specialized
Mig and Tig Welding,538,45617.95238095238,55.02187302362076,specialized
Accounting,534,60104.863773584904,55.162007332120936,specialized
Proposal Writing,533,80379.04580152672,55.301879216822414,specialized
Operations Management,532,46507.426666666666,55.441488677725204,specialized
Contract Drafting,524,67073.15080213903,55.57899874823848,specialized
Micrometers,521,41591.494366197185,55.715721547355685,specialized
Electrical Diagrams / Schematics,520,50048.51729323308,55.852181922674205,specialized
Federal Acquisition Regulation,513,72131.01007194245,55.9868053314019,specialized
Renovation,510,46188.20597826087,56.12064146873352,specialized
Laundry,497,28487.156462585033,56.25106609668217,specialized
Estimating,491,52537.643956043954,56.3799161818387,specialized
Government Regulations,485,72644.22566371682,56.50719172420308,specialized
Supply Chain Management,482,64092.89435483871,56.633679995171406,specialized
Project Planning and Development Skills,481,64027.68550724638,56.75990584234103,specialized
Plumbing Repairs,480,33410.96875,56.88586926571197,specialized
Teaching,479,94437.6191588785,57.01157026528422,specialized
Surveillance,476,59404.610471204185,57.1364839934604,specialized
Industrial Equipment Industry Knowledge,474,43228.8,57.2608728740392,specialized
Equipment Moving,472,31520.708,57.384736907020624,specialized
